N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
149,F&F,"51,400","상승
				400",+0.78%,100,"19,690","38,307",12.26,"40,013",5.04,38.43,
150,HL만도,"41,450","상승
				50",+0.12%,"1,000","19,464","46,957",25.74,"194,317",15.83,6.18,
151,팬오션,"3,635","상승
				15",+0.41%,"1,000","19,432","534,570",13.42,"802,884",6.14,5.32,
152,한올바이오파마,"36,150","상승
				1,550",+4.48%,500,"18,885","52,241",7.05,"508,546",-301.25,1.98,
153,TIGER 200,"33,835","상승
				450",+1.35%,0,"18,812","55,600",11.18,"809,738",N/A,N/A,
154,아모레G,"22,600","상승
				450",+2.03%,500,"18,636","82,458",10.25,"52,282",7.84,3.57,
155,BGF리테일,"107,400","하락
				600",-0.56%,"1,000","18,563","17,284",31.90,"11,293",9.74,19.23,
156,SK가스,"199,900","하락
				1,600",-0.79%,"5,000","18,451","9,230",6.92,"4,296",11.19,12.85,
157,CJ대한통운,"80,600","상승
				1,200",+1.51%,"5,000","18,387","22,812",14.14,"19,352",7.97,6.27,
158,TIGER 차이나전기차SOLACTIVE,"9,250","하락
				25",-0.27%,0,"18,019","194,800",0.36,"1,293,105",N/A,N/A,
159,이마트,"63,700","상승
				1,800",+2.91%,"5,000","17,757","27,876",18.26,"85,240",-34.12,-0.79,
160,ACE 미국30년국채액티브(H),"8,175","상승
				65",+0.80%,0,"17,715","216,700",0.00,"1,589,714",N/A,N/A,
161,산일전기,"57,400","상승
				1,100",+1.95%,500,"17,476","30,445",7.84,"362,440",6.52,47.00,
162,TIGER 미국배당다우존스,"13,165","상승
				200",+1.54%,0,"17,305","131,450",0.01,"823,673",N/A,N/A,
163,씨에스윈드,"40,950","상승
				1,100",+2.76%,500,"17,269","42,171",15.12,"298,018",29.13,2.24,
164,영원무역,"38,550","하락
				500",-1.28%,500,"17,082","44,311",28.72,"23,086",3.49,17.03,
165,금양,"28,900","상승
				1,800",+6.64%,500,"16,776","58,050",10.22,"2,118,446",-10.95,-38.52,
166,LG화학우,"215,500","상승
				3,500",+1.65%,"5,000","16,569","7,689",55.35,"8,453",59.58,N/A,
167,GS건설,"18,950","상승
				450",+2.43%,"5,000","16,218","85,581",23.13,"341,181",-39.64,-10.54,
168,한국앤컴퍼니,"17,010","하락
				10",-0.06%,500,"16,148","94,935",9.37,"23,310",4.36,4.76,
169,롯데쇼핑,"57,000","하락
				1,000",-1.72%,"5,000","16,125","28,289",7.87,"103,536",-375.00,1.83,
170,오뚜기,"400,500","하락
				3,500",-0.87%,"5,000","16,051","4,008",12.20,"1,365",10.26,8.55,
171,녹십자,"135,900","상승
				1,400",+1.04%,"5,000","15,882","11,687",20.58,"24,396",-84.25,-2.03,
172,풍산,"56,400","상승
				400",+0.71%,"5,000","15,806","28,024",21.27,"110,187",6.80,8.22,
173,호텔신라,"39,850","상승
				1,100",+2.84%,"5,000","15,640","39,248",13.82,"86,676",-47.10,14.98,
174,KODEX 코스닥150레버리지,"7,575","상승
				595",+8.52%,0,"15,551","205,300",0.09,"30,402,660",N/A,N/A,
175,KODEX 1년은행양도성예금증서+액티브(합성),"1,021,370","상승
				85",+0.01%,0,"15,435","1,511",0.00,"5,035",N/A,N/A,
176,대우건설,"3,690","상승
				65",+1.79%,"5,000","15,336","415,623",11.75,"478,558",4.68,13.19,
177,코리안리,"7,860","하락
				40",-0.51%,500,"15,313","194,821",28.06,"187,621",7.87,9.51,
178,코스맥스,"134,500","상승
				2,000",+1.51%,500,"15,265","11,350",32.33,"41,649",19.40,12.11,
179,KODEX 단기채권PLUS,"112,595","상승
				15",+0.01%,0,"15,042","13,359",0.00,"7,822",N/A,N/A,
180,DB하이텍,"33,400","상승
				250",+0.75%,"5,000","14,829","44,399",24.37,"97,859",6.35,15.65,
181,이수페타시스,"23,250","상승
				250",+1.09%,"1,000","14,705","63,246",13.25,"674,277",23.58,19.51,
182,에스엘,"31,550","상승
				250",+0.80%,500,"14,654","46,449",16.76,"23,478",3.94,18.83,
